# d	M_st	R_st	L_st	T_eff_st	SpT
2.975 0.17966400 0.25326131 0.00245817 2556.0593 M
21.351 1.13258000 1.10472736 1.54609000 6128.9137 G
5.912 0.34281700 0.42466834 0.02358950 3474.2184 M
19.886 0.96800700 0.97432265 0.89243100 5688.4590 G
15.610 0.89347300 0.91382944 0.67419400 5476.0325 G
14.959 1.18657000 1.14666007 1.81980000 6266.0079 G
15.525 1.86157000 1.64400637 8.80199000 7760.6096 A
5.772 0.79049200 0.82854859 0.43917900 5166.5872 K
25.347 1.33982000 1.26368015 2.78398000 6638.1997 F
18.439 1.53440000 1.40848061 4.47490000 7079.8290 F
21.152 1.14123000 1.11147204 1.58784000 6151.1282 G
21.153 1.06851000 1.05444243 1.26104000 5961.7416 G
20.900 1.44660000 1.34362714 3.64102000 6884.4421 F
27.431 1.52462000 1.40129409 4.37592000 7058.3805 F
14.107 0.93015900 0.94372564 0.77615700 5581.7051 G
13.376 1.66804000 1.50579264 5.99403000 7366.3019 F
16.014 1.06141000 1.04883347 1.23194000 5942.8735 G
19.017 1.02234000 1.01783243 1.08039000 5837.9365 G
17.915 1.01624000 1.01297104 1.05799000 5821.3571 G
23.940 1.49717000 1.38107382 4.10624000 6997.6949 F
6.096 1.08522000 1.06761393 1.33140000 6005.8211 G
6.016 0.69356900 0.74622834 0.27785200 4855.3426 K
6.161 0.45806700 0.53547994 0.06505040 3986.9727 M
8.799 0.77497400 0.81551078 0.40973600 5118.1563 K
17.465 1.04148000 1.03304859 1.15286000 5889.6046 G
25.985 1.20975000 1.16454562 1.94729000 6323.8531 G
19.309 0.93420800 0.94701066 0.78804700 5593.2337 G
14.677 0.85235500 0.88002784 0.57170500 5354.8482 K
20.899 1.00764000 1.00610734 1.02698000 5797.8998 G
23.775 1.75127000 1.56560603 7.10778000 7538.6680 A
14.355 1.89916000 1.67051063 9.43981000 7834.6312 A
14.245 1.45873000 1.35263285 3.74894000 6911.7739 F
7.041 0.45032000 0.52822261 0.06128070 3954.8025 M
3.497 0.55809600 0.62714379 0.12986200 4379.1450 K
3.495 0.50087600 0.57515404 0.08893130 4159.8143 K
3.971 0.48141500 0.55720588 0.07741390 4082.2468 M
9.272 1.12108000 1.09574446 1.49187000 6099.3067 G
4.965 0.38564900 0.46660971 0.03561830 3674.0392 M
18.128 1.04757000 1.03787832 1.17662000 5905.9287 G
13.628 1.97657000 1.72476432 10.85650000 7984.7247 A
15.561 1.06604000 1.05249199 1.25087000 5955.1953 G
27.128 1.46210000 1.35513219 3.77938000 6919.3720 F
27.061 1.63103000 1.47900472 5.54132000 7288.2103 F
3.639 0.65006600 0.70854259 0.22148900 4708.2274 K
11.797 1.43958000 1.33840837 3.57953000 6868.5418 F
18.353 1.36600000 1.28339564 2.97901000 6699.4643 F
22.376 1.10636000 1.08421940 1.42442000 6061.1258 G
20.454 1.34354000 1.26648625 2.81108000 6646.9196 F
22.945 1.44138000 1.33974700 3.59519000 6872.6058 F
8.899 0.44101700 0.51947454 0.05696300 3915.7815 M
16.026 1.53776000 1.41094748 4.50934000 7087.2082 F
4.676 0.28551200 0.36685927 0.01243620 3185.1108 M
7.608 0.62659800 0.68800438 0.19474300 4626.7095 K
6.868 0.44944500 0.52740136 0.06086520 3951.1545 M
15.468 1.10409000 1.08243937 1.41420000 6055.1971 G
3.287 0.39961300 0.48007787 0.04034020 3736.6381 M
27.647 1.33383000 1.25915845 2.74066000 6624.0860 F
20.550 1.24103000 1.18857290 2.12931000 6401.0199 F
20.460 1.21332000 1.16729409 1.96747000 6332.7050 G
16.877 0.84910600 0.87734323 0.56411400 5345.1429 K
22.841 1.02447000 1.01952856 1.08830000 5843.7258 G
13.433 1.41701000 1.32159483 3.38693000 6817.1799 F
5.905 0.35379800 0.43551618 0.02634180 3526.6437 M
10.908 0.76322000 0.80560062 0.38839600 5081.1400 K
