wrr,mass,radius
# wrr: WATER-TO-ROCK RATIO
# mass: MASS (Earth mass)
# radius: RADIUS (Earth radius)
#
5.00000E-02,6.50000E-01,1.26172E+00
5.00000E-02,7.00000E-01,1.27290E+00
5.00000E-02,7.50000E-01,1.28404E+00
5.00000E-02,8.00000E-01,1.29504E+00
5.00000E-02,8.50000E-01,1.30611E+00
5.00000E-02,9.00000E-01,1.31694E+00
5.00000E-02,9.50000E-01,1.32764E+00
5.00000E-02,1.00000E+00,1.33815E+00
5.00000E-02,1.05000E+00,1.34844E+00
5.00000E-02,1.10000E+00,1.35859E+00
5.00000E-02,1.15000E+00,1.36855E+00
5.00000E-02,1.20000E+00,1.37833E+00
5.00000E-02,1.25000E+00,1.38780E+00
5.00000E-02,1.30000E+00,1.39717E+00
5.00000E-02,1.35000E+00,1.40622E+00
5.00000E-02,1.40000E+00,1.41524E+00
5.00000E-02,1.45000E+00,1.42419E+00
5.00000E-02,1.50000E+00,1.43303E+00
5.00000E-02,1.55000E+00,1.44165E+00
5.00000E-02,1.60000E+00,1.45012E+00
5.00000E-02,1.65000E+00,1.45781E+00
5.00000E-02,1.70000E+00,1.46550E+00
5.00000E-02,1.75000E+00,1.47370E+00
5.00000E-02,1.80000E+00,1.48198E+00
5.00000E-02,1.85000E+00,1.48980E+00
5.00000E-02,1.90000E+00,1.49703E+00
5.00000E-02,1.95000E+00,1.50426E+00
5.00000E-02,2.00000E+00,1.51145E+00
5.00000E-02,2.05000E+00,1.51864E+00
