star_name|Vmag|Jmag|Tmag|Gmag|d|SpT|T_eff_st|logL|R_st|M_st|age|binary
TIC 192018839|10.906|8.591|9.693|10.441853523254396|47.09940719604492|K7V|4281.504733880587|-0.8074376949214122|0.7173662496331823|0.6837252378463745|null|0
TIC 309503744|11.502|8.22|9.646|10.618762016296388|33.10491943359375|M1.5V|3755.9311107060166|-1.040602298688358|0.7127155910956143|0.6273306566423246|null|0
TIC 68582245|10.73|8.121|9.356|10.19480037689209|33.42253494262695|K7.5Ve|4021.7780153563017|-0.9409451567326256|0.6971783223667287|0.63|null|0
TIC 165159216|12.612|9.468|10.8|11.837358474731444|38.411861419677734|null|3663.0|-1.4048932206260594|0.4926428649586456|0.491118722189469|null|0
TIC 165204611|13.083|8.773|10.456|11.759607315063477|13.26790714263916|M4.0Ve|3243.0|-2.115683195980791|0.2772791087974599|0.2509031537349303|null|1
TIC 68246758|10.18|7.689|8.817|9.607213973999023|27.481531143188477|K6V|4143.481827187157|-0.9088047758343676|0.6815839892524086|0.6606364250183105|10.943315505981444|1
TIC 172166165|9.86|7.611|8.655|9.394038200378418|29.85548973083496|K7|4343.239143701523|-0.7974725708919458|0.7051619561627737|0.68|null|1
TIC 172107518|9.11|7.159|8.076|8.72918701171875|27.17671012878418|K5|4674.727557822128|-0.6704443739753396|0.7045597790696398|0.7215840816497803|null|0
TIC 171921568|10.62|8.204|9.345|10.107327461242676|45.7792|K4|4253.134160237019|-0.6919710886499617|0.8303265713038626|0.66|null|0
TIC 171992858|9.97|8.033|8.981|9.619063377380373|40.13811111450195|K4|4714.522375655697|-0.6931842887383562|0.6748155752821713|0.7181085348129272|13.350648880004885|0
TIC 138500614|11.124|8.464|9.658|10.497530937194824|34.13679504394531|K7.5V|3995.29495523017|-1.0359838437885642|0.6332322560136466|0.6001333011803571|null|0
TIC 321103619|11.52|6.731|8.548|9.934659004211426|6.051032066345215|M4.5Ve|3134.0|-2.0561757773310876|0.3179558148802555|0.2975007751229533|null|0
TIC 192016074|11.062|8.833|9.942|10.7232084274292|48.13994598388672|K6V|4153.60433064486|-0.8708336745615982|0.7085745675196243|0.6669525504112244|13.474188804626465|0
TIC 156789641|12.396|9.19|10.503|11.546196937561035|39.73958206176758|null|3674.0|-1.3099860026426433|0.5462372834217002|0.5419224364710913|null|0
TIC 16646829|9.88|8.25|9.118|9.69526481628418|45.42146682739258|null|4993.891486580831|-0.6480931599326418|0.6334726402653839|0.82|null|0
TIC 17808034|10.34|7.209|8.499|9.518187522888184|14.012782096862791|M0V|3727.0|-1.3592639171745768|0.5015357561402405|0.4991922241709328|null|1
TIC 371105755|12.444|9.165|10.501|11.554144859313965|42.97574996948242|K5|3646.0|-1.2585115455450602|0.5885231399957606|0.5788330168554919|null|0
TIC 333877951|11.95|9.479|10.789|11.82769012451172|43.3709602355957|null|3680.0|-1.3328698177686968|0.5303005757219271|0.5279944646349671|null|0
TIC 321029949|9.88|7.794|8.722|9.433807373046877|32.81186294555664|K3V|4418.058896206745|-0.7462096042423293|0.7229110124249684|0.69|null|1
TIC 197146229|10.91|8.009|9.294|10.298880577087402|25.02153205871582|M1.0V|3754.0|-1.2282539171083042|0.5748269876655832|0.5673087409660398|null|1
TIC 192064872|10.33|8.371|9.334|10.026066780090332|47.2005500793457|K4|4373.2|-0.657339807787061|0.8173048236419165|0.7250376343727112|10.445508003234863|0
TIC 191992218|11.38|8.694|9.914|10.805418014526367|44.83262634277344|K7|4015.0|-0.9638473626276672|0.6813305526803203|0.647|null|0
TIC 165818533|10.108|7.206|8.407|9.405084609985352|23.8679141998291|K6V|3679.0|-0.8159776051527122|0.9620646706742528|0.6690626050642928|null|1
TIC 165818534|11.297|7.999|9.615|10.85560417175293|24.470252990722656|M2.8+M3.3|3350.0|-1.4313057334210444|0.5713604357416963|0.5642170654862231|null|1
TIC 172827300|10.1|8.047|9.021|9.682202339172363|36.00983810424805|K4V|4589.2|-0.7925125985014055|0.6352173852344856|0.73|null|0
TIC 139345876|11.121|7.943|9.283|10.332999229431152|21.689876556396484|M1V|3667.0|-1.3243244142112378|0.5393474351703947|0.5352494887737406|null|0
TIC 88730002|12.342|9.41|10.623|11.604150772094728|39.106746673583984|null|3798.0|-1.3183796770472942|0.5062358363188024|0.5037745072497393|null|0
TIC 253035400|13.203|9.195|10.751|11.964638710021973|24.224592208862305|M3V|3381.0|-1.7609789679982273|0.3837715881020003|0.3730417334785076|null|1
TIC 24024968|12.759|9.303|10.637|11.795195579528809|29.73954963684082|M4|3461.0|-1.5097578200495367|0.489069451139594|0.4251856625785332|null|0
TIC 318362684|12.14|8.644|9.955|11.00594711303711|27.04276657104492|M2.2|3662.0|-1.3893349444499392|0.5018206084636752|0.4997742977099652|null|0
TIC 318339281|10.563|7.858|9.018|9.89732265472412|28.29497528076172|K7V|4189.0|-0.9788717357033528|0.615171286451434|0.638008713722229|12.834531784057615|0
TIC 318275572|12.029|9.15|10.335|11.27285099029541|42.71297454833984|M0V|3875.0|-1.1593750916842531|0.5840118849391676|0.5756378087576459|null|0
TIC 840945463|12.5|null|10.92|11.717767715454102|22.97893524169922|null|3130.0|null|null|null|null|1
TIC 445832517|8.82|7.479|8.161|8.646035194396973|45.828277587890625|K0V|5527.770499252574|-0.2558086103725753|0.8121725968364909|0.9316444396972656|1.6762653589248655|0
TIC 310933995|9.79|8.072|8.891|9.473810195922852|43.8372917175293|K0|5030.0|-0.5936762024901788|0.664780961784225|0.82|null|0
TIC 318358029|10.02|8.161|9.082|9.70809268951416|46.439659118652344|null|4790.342899512588|-0.6119158664565|0.7177306747511021|0.77|null|0
TIC 900434307|9.53|null|8.701|9.287440299987791|42.67535781860352|null|4580.7451171875|-0.5046477083310102|0.888089092299249|0.7889147400856018|9.321905136108398|1
TIC 141130888|8.94|6.852|8.125|8.67747974395752|42.509273529052734|K2V|5386.0|-0.2985389504349152|0.814423827864694|0.8489628434181213|9.569616317749023|1
TIC 302699294|11.189|8.09|9.458|10.47299575805664|28.148208618164062|M0.5V|3742.0|-1.1830368597279348|0.6094339565397067|0.5956087695991183|null|0
TIC 284596693|11.712|8.846|10.05|11.018844604492188|40.3165283203125|M1.0V|3823.0|-1.116987501185173|0.6300141419869764|0.6121001388688958|null|1
TIC 357169945|9.25|7.553|8.379|8.968693733215332|38.79634475708008|K2V|4918.0|-0.4833615351047371|0.7895776171065128|0.8003584742546082|7.770754814147949|0
TIC 55724798|11.03|8.296|9.522|10.37735080718994|43.01689147949219|M0V|3983.906155044539|-0.7837183048207763|0.8514816502371471|0.694157691295958|null|1
TIC 252472545|9.17|7.72|8.446|8.975152969360352|48.6357536315918|K0|5272.769355163491|-0.3224803105263717|0.8266752596448249|0.8451005220413208|9.49593448638916|0
TIC 302694875|12.722|9.309|10.674|11.775158882141112|28.8221492767334|M2V|3571.0|-1.5885276779284498|0.4195745191183496|0.4140775702967939|null|0
TIC 371545002|9.53|7.364|8.385|9.101741790771484|22.949066162109375|K6V|4500.0|-0.9388279099948068|0.5582306297935822|0.6665226817131042|8.420424461364746|0
TIC 137935676|12.027|8.644|10.011|11.1075439453125|26.899009704589844|M2.0V|3578.0|-1.4218321787169668|0.5063559097099317|0.5040019123412871|null|0
TIC 66683055|9.36|7.778|8.568|9.13138198852539|46.16278076171875|K0|5073.094667797064|-0.4155730785604091|0.8022692974802886|0.7893521785736084|null|0
TIC 252469504|10.114|8.295|9.206|9.834218978881836|46.94376373291016|K4V|4756.583965173434|-0.6487450809840996|0.6977338121182401|0.7300220131874084|13.276620864868164|1
TIC 453447311|12.045|8.733|10.079|11.142544746398926|25.23173713684082|M1.5V|3637.0|-1.4792498076057905|0.4587130957457335|0.4557830164684558|null|0
TIC 453445501|11.09|8.338|9.503|10.315929412841797|47.667781829833984|K5|4197.0|-0.7271667514804326|0.8188254464685552|0.6565856791447092|null|0
TIC 372680369|10.57|8.439|9.426|10.12090015411377|43.39836502075195|K4:V|4492.702330970707|-0.7918011796781161|0.6633408840732955|0.7|null|0
TIC 39731200|14.201|9.21|10.45|11.397045135498049|40.74435806274414|null|3865.0|-1.214034842647238|0.5512342920453119|0.5459877980611554|null|0
